Id,Books,Book checkout,Book Returned,Days allowed to borrow,Customer ID
1.0,Catcher in the Rye,,25/02/2023,2 weeks,1.0
2.0,Lord of the rings the two towers,,21/03/2023,2 weeks,2.0
3.0,Lord of the rings the return of the kind,,25/03/2023,2 weeks,3.0
4.0,The hobbit,,25/03/2023,2 weeks,4.0
5.0,Dune,,25/03/2023,2 weeks,5.0
6.0,Little Women,,01/05/2023,2 weeks,1.0
7.0,IT,,03/04/2023,2 weeks,6.0
8.0,Misery,,03/04/2023,2 weeks,7.0
9.0,Catch 22,,16/04/2023,2 weeks,7.0
10.0,Animal Farm,,24/04/2023,2 weeks,2.0
11.0,1984,,27/04/2023,2 weeks,8.0
12.0,Little Women,,01/05/2023,2 weeks,1.0
13.0,East of Eden,,05/05/2023,2 weeks,2.0
14.0,America Is in the Heart,,07/05/2023,2 weeks,3.0
15.0,Wuthering Heights,,10/05/2023,2 weeks,9.0
16.0,Dark Tales,,01/06/2023,2 weeks,2.0
17.0,The Bloody Chamber,,04/06/2023,2 weeks,3.0
18.0,Les Miserables,,07/06/2023,2 weeks,5.0
19.0,Dracula,,10/07/2023,2 weeks,10.0
20.0,Frankenstein,,20/06/2023,2 weeks,2.0
21.0,,,05/06/2023,2 weeks,
